Plant,Good Companions,Bad Companions,Notes
Apple,Marigolds Garlic Lemon Balm Chives Leeks Nasturtium Clover Daffodils Comfrey,Grass Potato Walnut,Marigolds repel many harmful insects. The allium family of plants (garlic onion shallots etc) repels fruit tree borers. Lemon balm attracts bees to help pollinate the apple blossoms. Both grass and potatoes will compete with the apple tree for the same nutrients.
Apricot,Basil Nasturtiums Sunflower,Grass Tomato Peppers,Apricots are threatened by many insects which are repelled by the companion plants. These plants also attract the bees needed for pollination. Apricots are extremely sensitive to a fungus that often affects peppers.
Aspargus,Basil Parsley Tomato Dill Coriander Comfrey Nasturtiums,Onion Potato Gladiolas Garlic,The combination of asparagus and basil may attract beneficial lady bugs to your garden. Alliums (onion garlic etc) and potatoes are strong competitors for the same nutrients.
Basil,Chamomile Anise Tomato Pepper Oregano Asparagus Grape Vine Petunias,Rue,Basil is a great companion for many plants. It repels mosquitoes flies and other garden pests. Chamomile and anise help increase the flavor of basil.
Beans,Beets Cucumbers Carrots Lettuce Okra Potato Spinach Dill Cabbage Chard Eggplant Peas Broccoli Cauliflower Corn Grape Vine Savory Borage Marigold Radish Mint Rosemary Onion Squash,Tomatoes Peppers Alliums,Beans add nitrogen to the soil making it beneficial for many plants but harmful to the ones that don’t need too much nitrogen.
Broad Beans,Cabbage Corn Lettuce,Garlic Onion Chive Shallot Fennel Sunflowers
Bush Beans,Celery Strawberry Cucumber Soybeans Grains Beets Cabbage Carrot Cauliflower Corn Marigolds Potato Savory,Soybean Alfalfa Fennel Garlic Leeks Onion Shallot
Climbing Beans,Cabbage Corn Radish Marigold Potato,Beet Sunflower Fennel Broccoli Cauliflower Kohlrabi Garlic Onion Shallot Leeks
Beets,Lettuce Garlic Kohlrabi Onion Shallot Broccoli Cauliflower Brussels Sprouts Beans (bush) Swiss Chard Cabbage Mint,Climbing Beans Tomato Mustard,Beets add many essential minerals to the soil. They grow especially well with kohlrabi. They become more flavorful when grown near garlic.
Borage,Strawberry Tomato Squash Beans (all) Cucumber Fruit Trees Cabbage,,>
Broccoli,Beet Lettuce Turnip Dill Mustard Onion Tomato Chamomile Carrot Marigold Mint Nasturtiums Rosemary Thyme Sage,Strawberry Peppers Climbing Beans,Broccoli repels wireworms.
Brussels Sprouts,Sage Thyme Beans (all) Beets Carrot Chamomile Dill Marigolds Mint Onion Nasturtiums Rosemary,Strawberries
Cabbages,Beans (all) Chamomile Tomato Celery Marigolds Nasturtiums Dill Coriander Onion Beets Mint Rosemary Sage Thyme Lettuce Garlic Broccoli Brussels Sprouts Swiss Chard Spinach,Grape Vine Rue Strawberry
Cantaloupe,Chamomile Savory Corn,None
Chamomile,Cauliflower Broccoli Onion Cabbage Cucumber Most Herbs,Mint,Growing chamomile near herbs will give them richer flavor and more nutrient content. Mint tends to crowd out chamomile.
Carrots,Rosemary Onion Lettuce Garlic Shallot Chive Tomato Beans (all) Leek Rosemary Sage Peas,Dill Parsnip Radish,Tomatoes grow much better near carrots but may make carrots smaller.
Cauliflower,Spinach Sunflower Peas Beans (all) Broccoli Celery Marigold Cabbage Swiss Chard Tomato Brussels Sprouts,Rue Strawberry,Growing spinach and cauliflower together benefits both pants tremendously.
Celery,Tomato Bush Beans Cauliflower Broccoli Cauliflower Cabbage,Corn Potato Parsnip
Cherry,Alliums Marigold Spinach,Grass Potato
Chervil,Broccoli Lettuce Radish,None,Chervil improves the flavor of lettuce broccoli and radish. It also repels aphids.
Chives,Apple Carrot Rose Grape Vine Tomato Broccoli Cabbage Mustard Cauliflower Strawberry,Beans (all) Peas,Chive repels aphids and other pests.
Coriander,Cabbage Spinach Lettuce Tomato Anise Beans (all) Peas,Dill,Coriander and dill cross-pollinate too easily ruining both plants.
Corn,Squash Climbing Beans Potato Soybeans Cucumber Sunflower Dill Peas Parsley Potato Mustard Pumpkin Melons,Tomato Celery,The “Three Sisters” technique was used by many Native Americans. They grew squash corn and climbing beans together to benefit all three “sisters.”
Cucumber,Kohlrabi Radish Sunflower Beans (all) Lettuce Nasturtiums Chamomile Marigold Peas Beets Carrot Dill Onion Garlic Celery Spinach Corn Cabbage,Potato Sage and many other herbs,Cucumber repels ants and raccoons. Radishes repel cucumber beetles.
Dill,Broccoli Cabbage Fennel Beans (all) Corn Radish Sunflower Lettuce Onion Eggplant Cucumber,Coriander Carrot Tomato,Dill is one of the few plants that grow well with fennel.
Fennel,Dill Eggplant Basil,Tomato Coriander Beans (most),Fennel attracts beneficial lady bugs and repels aphids. It inhibits the growth of most plants and can kill many so its best to be grown away from others.
Marigold,Most Plants Tomato Pepper Apricot Beans (all) Rose Cucumber Squash Potato Zucchini Broccoli Cauliflower Cabbage Onion Garlic Chive Shallot,None,Marigolds repel many different pests and are a beneficial companion to almost every plant. Many gardeners suggest planting marigolds everywhere.
Fruit Trees,Onion Borage Nasturtiums Garlic Chive Shallot Tansy Marigold Lemon Balm Mustard Marjoram Dandelions,Grass,Grass is an aggressive competitor with most species of fruit trees.
Garlic,Cucumber Rose Tomato Broccoli Beets Peas Cabbage Lettuce Tarragon Celery Potato Fruit Trees,Peas Grape Vine Beans (all),Garlic and other alliums are beneficial to many plants. They repel aphids slugs rabbits and other common pests.
Grape Vine,Basil Beans (all) Peas Chives Mustard Oregano Peas Geraniums Blackberries,Cabbage Garlic Radish
Kale,Beets Celery Spinach Marigold Cabbage Cauliflower Nasturtiums Aromatic Herbs,Grape Vine Beans (all) Strawberry
Kohlrabi,Cucumber Thyme Sage Cabbage Cauliflower Beets Onion Aromatic Herbs,Climbing Bean Pepper Tomato Fennel
Lettuce,Broccoli Beans (Bush & Climbing) Carrot Beets Onion Radish Kohlrabi Dill Cucumber Strawberry Thyme Coriander Nasturtiums Parsnips,Cabbage Parsley Celery,Cabbage stunts the growth of lettuce and decreases the flavor.
Marjoram,All Plants Squash Beans (all) Eggplant,None,Marjoram will improve the yield of many vegetable crops and increase the flavor of most herbs.
Mustard,Mulberry Grape Vine Fruit Trees Beans (all) Broccoli Cabbage Radish Cauliflower Brussels Sprouts Turnip Alfalfa,None,Mustard is especially beneficial to most species of fruit tree. It stimulates their growth.
Mulberry,Alliums Marigold Grass,None,Mulberry is one of the few plants that can be grown with grass.
Nasturtium,Apple Beans (all) Cabbage Squash Tomato Fruit Trees Broccoli Brussels Sprouts Radish Cucumber Pumpkin Potato,Cauliflower,Nasturtium repels many common garden pests.
Onions,Carrot Strawberry Chamomile Beets Cabbage Cauliflower Lettuce Parsnip Pepper Cucumber Dill Marigold Tomato Savory Broccoli,Peas Lentils Asparagus,Onions help berries resist disease and keep carrot flies away in addition to other pests.
Oregano,All Plants Cabbage Cauliflower Cucumber,None,Oregano is beneficial to most plants as it repels pests and increases humidity if allowed to spread through crops.
Parsley,Asparagus Rose Tomato Corn Apple,Onion Garlic Chive Shallot Lettuce Mint,When grown near roses parsley makes the roses more fragrant.
Parsnips,Bush Beans Pepper Potato Radish Fruit Trees,Carrot Celery,Blend 3 parsnips with 1 liter of water. Let sit overnight and then strain into a spray bottle. This makes a natural pesticide that is toxic to most pests.
Peas,Corn Carrot Eggplant Turnip Cauliflower Garlic Broccoli Brussels Sprouts Mint Cucumber Beans (all),Chive Potato Onion,Peas add nitrogen to the soil. Plant them with plants that require a lot of nitrogen.
Peppers,Basil Tomato Sunflower Carrot Eggplant Onion Parsley Okra Marjoram Mustard Geraniums Petunias,Beans (all) Kale Apricot Fennel Kohlrabi Brussels Sprouts,A fungus that is common to peppers can ruin apricot trees so keep these away from each other.
Pennyroyal,Cabbage Kale Cauliflower,None,Pennyroyal is highly toxic to cats. If you have cats it’s best to leave this out of your garden.
Potato,Beans (all) Horseradish Thyme Basil Cabbage Corn Eggplant Marigold Peas Broccoli Corn Onion Garlic Clover,Carrot Pumpkin Tomato Cucumber Sunflower Squash Apple Cherry Raspberry Walnut,Potatoes should be kept away from many plants as they compete for the same resources and can easily spread disease.
Pumpkin,Corn Squash Nasturtium Beans (all) Oregano Radish,Potato,Nasturtium (as well as marigold and oregano) repel squash bugs and other pests that commonly infest pumpkin crops.
Radish,Chervil Lettuce Nasturtium Squash Eggplant Cucumber Peas Beans (all) Melons,Grape Vine Brussels Sprout Turnip,Radishes can help many plants either by repelling pests or attracting those pests to themselves rather than the other crops.
Rosemary,Cabbage Beans (all) Sage Carrot Sage Broccoli,Tomato,Rosemary is sensitive to cold weather. Do not plant outdoors if you live in plant hardiness zone 6 or colder.
Roses,Garlic Rose Parsley Chive Marigold,None
Rue,Fruit Trees Lavender Carrot,Basil Broccoli Cabbage,Rue deters quite a lot of pests but it should generally be kept separate from most other plants
Sage,Broccoli Cauliflower Carrot Rosemary Cabbage Brussels Sprouts Tomato Strawberry Marjoram Beans (all),Cucumber Onion Rue,Sage repels pests and attracts beneficial insects.
Savory,Beans (all) Onion Melon,None,Savory attracts bees for pollination and repels some pests.
Silverbeet,Beets Cherry Lavender,Basil
Soybeans,Corn Sunflower Asparagus Potato,Beans (all) Onions Garlic,Soybeans add nitrogen to the soil. This is beneficial for plants that need a lot of nitrogen but overkill for those plants that don’t need as much.
Spinach,Strawberry Peas Beans (all) Celery Cauliflower Eggplant Peas Beans Broccoli,None,Peas and beans provide natural shade for spinach which it needs.
Squash,Borage Corn Beans (all) Okra Radish Marigold Nasturtium Tansy,Potato,Squash are highly susceptible to many pests. Marigolds and nasturtiums help repel some of these.
Strawberry,Borage Spinach Thyme Bush Beans Onion Lettuce Sage,Cabbage Broccoli Cauliflower Tomato Potato Eggplant Pepper Melons Okra Mint Rose,Thyme increases the yield of your strawberry crop and helps them grow more quickly.
Stinging Nettle,Chamomile Tomato Marjoram Mint Broccoli Sage,None,Stinging nettle repels aphids.
Sunflower,Pepper Corn Soybeans Cucumber Tomato Swan Plant,Climbing Beans Garlic Potato,Sunflowers repel aphids and attract other pests away from nearby crops.
Swiss Chard,Bush Beans Kohlrabi Onion Broccoli Brussels Sprouts Cabbage Cauliflower Radish Turnip,Climbing Beans
Tarragon,All Plants Eggplant Tomato Pepper,None,It is recommended to plant tarragon throughout your garden as the scent repels most pests and seems to enhance the flavor and growth of any crop grown near it.
Thyme,All Plants Cabbage Potato Brussels Sprout Eggplant Strawberry Tomato,None,Thyme attracts the beneficial syrphidae which preys on aphids.
Tomato,Aspargus Basil Garlic Beans (all) Oregano Rose Brocolli Cabbage Celery Pepper Marigold Borage Parsley Coriander Chive Carrot Eggplant Sage Thyme Mint Mustard Rosemary Stinging Nettle,Corn Dill Potato Fennel Kohlrabi Walnut,Growing basil near tomatoes will increase your tomato yield. Dill attracts pests that feed on tomatoes.
Turnips,Broccoli Peas Cabbage,Potato Radish Carrot Mustard,Turnips should not be planted near other root vegetables as they will compete for the same resources.
Yarrow,Most Plants (especially aromatic) Apricot Chervil Grape Vine,None,Yarrow attracts many beneficial insects and acts as a natural fertilizer.
Zucchini,Corn Marjoram Parsnip,Potato
